Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
Allineuc,22001,22460,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,592,48.31194,-2.8725,180,24.35
Andel,22002,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1170,48.49139,-2.56556,80,12.39
Aucaleuc,22003,22100,1,Dinan,CA Dinan Agglomération,953,48.45583,-2.12694,100,6.51
Beaussais-sur-Mer,22209,22650,1,Pleslin-Trigavou,CC Côte d'Emeraude,4379,48.58083,-2.13917,24,36.07
Bégard,22004,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,4862,48.63,-3.30028,120,36.5
Belle-Isle-en-Terre,22005,22810,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1031,48.54417,-3.39472,101,14.29
Berhet,22006,22140,3,Bégard,CA Lannion-Trégor Communauté,272,48.69611,-3.30306,80,3.37
Binic-Étables-sur-Mer,22055,22680,4,Plouha,CA Saint-Brieuc Armor Agglomération,7020,48.62778,-2.83361,70,9.32
Bobital,22008,22100,1,Lanvallay,CA Dinan Agglomération,1143,48.41306,-2.10194,90,5.06
le Bodéo,22009,22320,4,Plaintel,CA Saint-Brieuc Armor Agglomération,178,48.3225,-2.93556,193,10.2
Bon Repos sur Blavet,22107,22570,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1237,48.24222,-3.12194,200,24.91
Boqueho,22011,22170,2,Plélo,CC Leff Armor Communauté,1054,48.4825,-2.95917,170,27.71
la Bouillie,22012,22240,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,845,48.57417,-2.43333,100,10.92
Bourbriac,22013,22390,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2126,48.47556,-3.18694,200,73.19
Bourseul,22014,22130,1,Plancoët,CA Dinan Agglomération,1247,48.48778,-2.255,60,22.49
Bréhand,22015,22510,4,Plénée-Jugon,CA Lamballe Terre et Mer,1695,48.40278,-2.57278,82,25.98
Brélidy,22018,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,316,48.6625,-3.21778,70,8.3
Bringolo,22019,22170,2,Plélo,CC Leff Armor Communauté,510,48.57389,-3.00056,120,9.4
Broons,22020,22250,1,Broons,CA Dinan Agglomération,2931,48.31722,-2.26083,90,35.74
Brusvily,22021,22100,1,Lanvallay,CA Dinan Agglomération,1155,48.39167,-2.12472,115,12.19
Bulat-Pestivien,22023,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,409,48.43,-3.33139,260,31.74
Calanhel,22024,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,236,48.43583,-3.48194,250,14.72
Callac,22025,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2274,48.40611,-3.42444,160,33.41
Calorguen,22026,22100,1,Lanvallay,CA Dinan Agglomération,722,48.40917,-2.02778,50,8.57
Camlez,22028,22450,3,Tréguier,CA Lannion-Trégor Communauté,832,48.77667,-3.30167,70,11.73
Canihuel,22029,22480,2,Rostrenen,CC du Kreiz-Breizh (CCKB),348,48.34028,-3.10556,200,32.33
Caouënnec-Lanvézéac,22030,22300,3,Bégard,CA Lannion-Trégor Communauté,904,48.70333,-3.375,90,7.22
Carnoët,22031,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,667,48.3675,-3.52,200,42.12
Caulnes,22032,22350,1,Broons,CA Dinan Agglomération,2506,48.28861,-2.15306,75,32.55
Caurel,22033,22530,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,355,48.21611,-3.03444,187,13.16
Cavan,22034,22140,3,Bégard,CA Lannion-Trégor Communauté,1548,48.67139,-3.34528,96,16.82
les Champs-Géraux,22035,22630,1,Lanvallay,CA Dinan Agglomération,1053,48.41611,-1.96861,38,19.74
la Chapelle-Blanche,22036,22350,1,Broons,CA Dinan Agglomération,211,48.26694,-2.14194,70,8.05
la Chapelle-Neuve,22037,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,403,48.4625,-3.41889,250,24.15
Châtelaudren-Plouagat,22206,22170,2,Plélo,CC Leff Armor Communauté,3968,48.53556,-2.99861,140,32.44
la Chèze,22039,22210,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,572,48.13167,-2.65556,70,2.59
Coadout,22040,22970,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,538,48.51805,-3.18861,150,9.88
Coatascorn,22041,22140,3,Bégard,CA Lannion-Trégor Communauté,251,48.67444,-3.24917,73,8.13
Coatréven,22042,22450,3,Tréguier,CA Lannion-Trégor Communauté,493,48.76778,-3.34194,100,9.37
Coëtmieux,22044,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1840,48.49139,-2.59972,60,8.21
Cohiniac,22045,22800,2,Plélo,CC Leff Armor Communauté,397,48.46194,-2.94778,160,12.56
Corlay,22047,22320,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,913,48.31694,-3.05833,180,14.13
Corseul,22048,22130,1,Plancoët,CA Dinan Agglomération,2270,48.48139,-2.16694,80,42.49
Créhen,22049,22130,1,Plancoët,CA Dinan Agglomération,1664,48.54667,-2.21167,40,18.46
Dinan,22050,22100,1,Dinan,CA Dinan Agglomération,14966,48.45222,-2.04722,69,3.97
Duault,22052,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,388,48.36167,-3.43611,165,21.87
Éréac,22053,22250,4,Broons,CA Lamballe Terre et Mer,676,48.27417,-2.34583,140,21.49
